id,room_type,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Downtown,PerCapitaIncome,most_freq_aspect
958,Entire home/apt,222.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.77,4068.1320733652706,110777,int_style
3850,Private room,167.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1.33,6792.053605081589,93008,comm
5858,Entire home/apt,111.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.87,5666.12834229402,69778,nature
7918,Private room,18.0,86.0,8.0,8.0,9.0,9.0,9.0,8.0,0.15,5573.866947209201,99041,comm
8142,Private room,8.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0.13,5632.8828739683495,99041,comm
8339,Entire home/apt,28.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.23,3866.2604904185296,82570,int_style
8739,Private room,707.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,5.66,4293.72800160924,108968,bldg
9225,Private room,517.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,4.24,3423.2242196610305,125379,bedroom
10251,Entire home/apt,337.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,2.73,4011.6211856431396,59299,comm
10578,Entire home/apt,18.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.19,1495.76456165549,93901,attr_trans
10820,Entire home/apt,37.0,89.0,9.0,9.0,10.0,9.0,9.0,9.0,0.3,4231.28423682886,110777,nature
10824,Entire home/apt,15.0,91.0,10.0,10.0,10.0,10.0,10.0,9.0,0.16,3130.17007270935,84435,attr_trans
10832,Entire home/apt,19.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,0.23,1152.16024024485,23103,int_style
12041,Private room,6.0,80.0,9.0,8.0,9.0,10.0,9.0,7.0,0.06,4878.14027695911,75446,comm
12042,Private room,5.0,64.0,6.0,6.0,10.0,9.0,9.0,8.0,0.06,5088.797555254179,98656,comm
12522,Private room,416.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.49,4538.340796825661,112158,attr_trans
12584,Entire home/apt,17.0,95.0,9.0,10.0,9.0,9.0,9.0,9.0,0.2,6008.36635398416,93008,int_style
14125,Entire home/apt,116.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0.97,4717.531976444079,92150,int_style
17132,Entire home/apt,14.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.13,997.210914754357,132729,facil
18231,Entire home/apt,62.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.54,5612.955104955529,102588,bldg
18904,Private room,402.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,4.17,3728.00244923573,83480,kitchen
21334,Entire home/apt,119.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.03,1510.0998058553303,75305,comm
21914,Private room,14.0,78.0,8.0,8.0,10.0,10.0,10.0,7.0,0.14,5687.1477991519,99041,comm
23611,Private room,252.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.17,5392.47920654737,72179,comm
23630,Entire home/apt,392.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3.43,5285.3387111858,103534,kitchen
24463,Private room,294.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,2.56,4051.1561421137103,70132,nbhd
24685,Private room,199.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1.76,4229.886956719671,110777,nbhd
24723,Entire home/apt,316.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2.71,3174.4373895659,74516,bedroom
25094,Private room,39.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95,6356.44450240015,96275,int_style
25463,Private room,432.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.93,3588.6493772874396,82570,kitchen
25662,Private room,313.0,95.0,10.0,9.0,10.0,10.0,10.0,10.0,2.77,3432.8366437230497,118479,comm
26408,Entire home/apt,34.0,91.0,9.0,8.0,9.0,9.0,9.0,9.0,0.34,3533.0577580372296,88425,nature
27025,Entire home/apt,132.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.14,4405.6251964141,96475,int_style
27028,Private room,27.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.49,4086.5176360530604,108968,nature
